kingdom_class,common_name,scientific_name,trend,region,threat_level
animalia — actinopterygii,Twostripe Snake Eel,Callechelys bilinearis,Unknown,Global,Least Concern
animalia — actinopterygii,Crested Goby,Lophogobius cyprinoides,Unknown,Global,Least Concern
animalia — actinopterygii,Pluma Porgy,Calamus pennatula,Unknown,Global,Least Concern
animalia — actinopterygii,Saucereye Porgy,Calamus calamus,Unknown,Global,Least Concern
animalia — malacostraca,,Macrobrachium olfersii,Unknown,Global,Least Concern
animalia — reptilia,Green Vine Snake,Oxybelis fulgidus,Stable,Global,Least Concern
animalia — actinopterygii,,Haptenchelys texis,Unknown,Global,Least Concern
animalia — actinopterygii,Speckled Worm Eel,Myrophis punctatus,Unknown,Global,Least Concern
animalia — chondrichthyes,Rough Pygmy Skate,Cruriraja rugosa,Stable,Global,Least Concern
animalia — chondrichthyes,Freckled Guitarfish,Pseudobatos lentiginosus,Decreasing,Global,Vulnerable
animalia — cephalopoda,Grass Squid,Pickfordiateuthis pulchella,Unknown,Global,Data Deficient
animalia — cephalopoda,Combed Octopus,Eledone massyae,Unknown,Global,Least Concern
animalia — cephalopoda,,Chiroteuthis veranyi,Unknown,Global,Least Concern
animalia — holothuroidea,,Holothuria grisea,Unknown,Global,Least Concern
animalia — actinopterygii,Kukwari Sea Catfish,Amphiarius phrygiatus,Unknown,Global,Least Concern
animalia — malacostraca,,Palaemonetes ivonicus,Unknown,Global,Least Concern
animalia — malacostraca,,Pseudopalaemon chryseus,Unknown,Global,Least Concern
animalia — malacostraca,,Pseudopalaemon bouvieri,Unknown,Global,Least Concern
animalia — malacostraca,,Macrobrachium aracamuni,Unknown,Global,Least Concern
animalia — insecta,,Idiogomphoides emmeli,Unknown,Global,Data Deficient
animalia — insecta,,Acanthallagma strohmi,Unknown,Global,Data Deficient
animalia — insecta,,Hetaerina curvicauda,Unknown,Global,Least Concern
animalia — insecta,,Neuraeschna harpya,Unknown,Global,Least Concern
animalia — insecta,,Epipleoneura williamsoni,Unknown,Global,Least Concern
animalia — insecta,,Progomphus adaptatus,Unknown,Global,Data Deficient
animalia — insecta,,Acanthagrion adustum,Unknown,Global,Least Concern
animalia — insecta,,Protoneura tenuis,Unknown,Global,Least Concern
animalia — amphibia,,Adenomera ajurauna,Stable,Global,Data Deficient
animalia — insecta,,Erythrodiplax pallida,Unknown,Global,Least Concern
animalia — insecta,,Minagrion ribeiroi,Unknown,Global,Critically Endangered
animalia — insecta,,Epipleoneura albuquerquei,Unknown,Global,Data Deficient
animalia — insecta,,Neuraeschna mina,Unknown,Global,Data Deficient
animalia — insecta,,Erythemis haematogastra,Unknown,Global,Least Concern
animalia — insecta,,Progomphus amazonicus,Unknown,Global,Data Deficient
animalia — insecta,,Perithemis cornelia,Unknown,Global,Least Concern
animalia — insecta,,Neocordulia mambucabensis,Unknown,Global,Data Deficient
animalia — insecta,,Peristicta gauchae,Unknown,Global,Data Deficient
animalia — insecta,,Acanthagrion kennedii,Unknown,Global,Least Concern
animalia — insecta,,Oxyagrion impunctatum,Unknown,Global,Least Concern
animalia — insecta,,Erythrodiplax ochracea,Unknown,Global,Least Concern
animalia — insecta,,Oxyagrion sulinum,Unknown,Global,Least Concern
animalia — insecta,,Lestes dichrostigma,Unknown,Global,Least Concern
animalia — insecta,,Tramea rustica,Unknown,Global,Least Concern
animalia — insecta,,Cyanallagma ferenigrum,Unknown,Global,Data Deficient
animalia — insecta,,Micrathyria divergens,Unknown,Global,Vulnerable
animalia — insecta,,Phyllogomphoides cepheus,Unknown,Global,Least Concern
animalia — insecta,,Phyllogomphoides suspectus,Unknown,Global,Data Deficient
animalia — insecta,,Phyllocycla sordida,Unknown,Global,Data Deficient
animalia — insecta,,Phyllocycla viridipleuris,Unknown,Global,Least Concern
animalia — insecta,,Heteragrion aurantiacum,Unknown,Global,Least Concern
animalia — insecta,,Diaphlebia angustipennis,Unknown,Global,Least Concern
animalia — insecta,,Acanthagrion truncatum,Unknown,Global,Least Concern
animalia — insecta,,Perissolestes cornutus,Unknown,Global,Least Concern
animalia — insecta,,Phyllocycla pallida,Unknown,Global,Data Deficient
animalia — insecta,,Erythrodiplax nivea,Unknown,Global,Critically Endangered
animalia — insecta,,Zenithoptera fasciata,Unknown,Global,Least Concern
animalia — chondrichthyes,Tiger Ray,Potamotrygon schroederi,Unknown,Global,Data Deficient
animalia — chondrichthyes,,Potamotrygon orbignyi,Unknown,Global,Least Concern
animalia — actinopterygii,African Pompano,Alectis ciliaris,Unknown,Global,Least Concern
animalia — malacostraca,,Sylviocarcinus maldonadoensis,Stable,Global,Least Concern
animalia — malacostraca,,Valdivia serrata,Stable,Global,Least Concern
animalia — chondrichthyes,Smalleye Hammerhead,Sphyrna tudes,Decreasing,Global,Critically Endangered
