kingdom_class,common_name,scientific_name,trend,region,threat_level
animalia — actinopterygii,Blue Marlin,Makaira nigricans,Decreasing,Global,Vulnerable
animalia — reptilia,Olive Ridley,Lepidochelys olivacea,Decreasing,Global,Vulnerable
animalia — chondrichthyes,Bluntnose Sixgill Shark,Hexanchus griseus,Decreasing,Global,Near Threatened
animalia — actinopterygii,Whitebar Surgeonfish,Acanthurus leucopareius,Stable,Global,Least Concern
animalia — chondrichthyes,Tope,Galeorhinus galeus,Decreasing,Global,Critically Endangered
animalia — actinopterygii,Red Cod,Salilota australis,Decreasing,Global,Data Deficient
animalia — actinopterygii,Frogmouth,Cottoperca trigloides,Unknown,Global,Least Concern
animalia — aves,Whimbrel,Numenius phaeopus,Decreasing,Global,Least Concern
animalia — actinopterygii,Chinese Trumpetfish,Aulostomus chinensis,Unknown,Global,Least Concern
animalia — actinopterygii,Marbled Parrotfish,Leptoscarus vaigiensis,Unknown,Global,Least Concern
animalia — mammalia,Taruca,Hippocamelus antisensis,Decreasing,Global,Vulnerable
animalia — mammalia,Patagonian Huemul,Hippocamelus bisulcus,Decreasing,Global,Endangered
animalia — mammalia,Short-tailed Chinchilla,Chinchilla chinchilla,Decreasing,Global,Endangered
animalia — mammalia,Short-beaked Common Dolphin,Delphinus delphis,Unknown,Global,Least Concern
animalia — reptilia,Leatherback,Dermochelys coriacea,Decreasing,Global,Vulnerable
animalia — actinopterygii,Cocco's Lantern Fish,Lobianchia gemellarii,Unknown,Global,Least Concern
animalia — aves,Chilean Flamingo,Phoenicopterus chilensis,Decreasing,Global,Near Threatened
animalia — actinopterygii,Common Galaxias,Galaxias maculatus,Unknown,Global,Least Concern
animalia — mammalia,Darwin's Fox,Lycalopex fulvipes,Decreasing,Global,Endangered
animalia — aves,Turkey Vulture,Cathartes aura,Stable,Global,Least Concern
animalia — mammalia,Screaming Hairy Armadillo,Chaetophractus vellerosus,Stable,Global,Least Concern
animalia — aves,Eskimo Curlew,Numenius borealis,Unknown,Global,Critically Endangered
animalia — aves,Polynesian Storm-petrel,Nesofregetta fuliginosa,Decreasing,Global,Endangered
animalia — mammalia,Dusky Dolphin,Lagenorhynchus obscurus,Unknown,Global,Least Concern
animalia — chondrichthyes,Basking Shark,Cetorhinus maximus,Decreasing,Global,Endangered
animalia — aves,Cattle Egret,Bubulcus ibis,Increasing,Global,Least Concern
animalia — aves,Pomarine Jaeger,Stercorarius pomarinus,Stable,Global,Least Concern
animalia — aves,Hooded Grebe,Podiceps gallardoi,Stable,Global,Critically Endangered
animalia — aves,Peregrine Falcon,Falco peregrinus,Stable,Global,Least Concern
animalia — mammalia,Long-finned Pilot Whale,Globicephala melas,Unknown,Global,Least Concern
animalia — aves,Common Barn-owl,Tyto alba,Stable,Global,Least Concern
animalia — mammalia,Killer Whale,Orcinus orca,Unknown,Global,Data Deficient
animalia — mammalia,Sei Whale,Balaenoptera borealis,Increasing,Global,Endangered
animalia — mammalia,Rough-toothed Dolphin,Steno bredanensis,Unknown,Global,Least Concern
animalia — actinopterygii,Giant Hatchetfish,Argyropelecus gigas,Unknown,Global,Least Concern
animalia — actinopterygii,Slender Snipe Eel,Nemichthys scolopaceus,Unknown,Global,Least Concern
animalia — mammalia,Pygmy Sperm Whale,Kogia breviceps,Unknown,Global,Least Concern
animalia — aves,Long-tailed Jaeger,Stercorarius longicaudus,Stable,Global,Least Concern
animalia — mammalia,Southern Elephant Seal,Mirounga leonina,Stable,Global,Least Concern
animalia — mammalia,Common Bottlenose Dolphin,Tursiops truncatus,Unknown,Global,Least Concern
animalia — chondrichthyes,Birdbeak Dogfish,Deania calcea,Decreasing,Global,Near Threatened
animalia — actinopterygii,Cosmopolitan Spineback,Notacanthus chemnitzii,Unknown,Global,Least Concern
animalia — chondrichthyes,Smooth Hammerhead,Sphyrna zygaena,Decreasing,Global,Vulnerable
animalia — actinopterygii,Sailfish,Istiophorus platypterus,Unknown,Global,Least Concern
animalia — actinopterygii,,Entomacrodus chapmani,Stable,Global,Vulnerable
animalia — aves,Sanderling,Calidris alba,Unknown,Global,Least Concern
animalia — chondrichthyes,Longnose Velvet Dogfish,Centroselachus crepidater,Decreasing,Global,Near Threatened
animalia — actinopterygii,,Syngnathus macrobrachium,Unknown,Global,Data Deficient
animalia — mammalia,Geoffroy's Cat,Leopardus geoffroyi,Stable,Global,Least Concern
animalia — mammalia,Burmeister's Porpoise,Phocoena spinipinnis,Unknown,Global,Near Threatened
animalia — aves,Baird's Sandpiper,Calidris bairdii,Stable,Global,Least Concern
animalia — aves,Picui Dove,Columbina picui,Stable,Global,Least Concern
animalia — chondrichthyes,White Shark,Carcharodon carcharias,Decreasing,Global,Vulnerable
