kingdom_class,common_name,scientific_name,trend,region,threat_level
animalia — aves,Patagonian Canastero,Pseudasthenes patagonica,Decreasing,Global,Least Concern
animalia — aves,Streak-fronted Thornbird,Phacellodomus striaticeps,Stable,Global,Least Concern
animalia — aves,Curve-billed Reedhaunter,Limnornis curvirostris,Stable,Global,Least Concern
animalia — aves,Firewood-gatherer,Anumbius annumbi,Increasing,Global,Least Concern
animalia — aves,Lark-like Brushrunner,Coryphistera alaudina,Stable,Global,Least Concern
animalia — aves,Buff-browed Foliage-gleaner,Syndactyla rufosuperciliata,Stable,Global,Least Concern
animalia — aves,White-browed Foliage-gleaner,Anabacerthia amaurotis,Decreasing,Global,Near Threatened
animalia — mammalia,,Akodon polopi,Stable,Global,Least Concern
animalia — aves,Yungas Dove,Leptotila megalura,Stable,Global,Least Concern
animalia — aves,Black-legged Seriema,Chunga burmeisteri,Stable,Global,Least Concern
animalia — aves,Azure Gallinule,Porphyrio flavirostris,Unknown,Global,Least Concern
animalia — aves,Long-winged Harrier,Circus buffoni,Decreasing,Global,Least Concern
animalia — aves,Pied-billed Grebe,Podilymbus podiceps,Stable,Global,Least Concern
animalia — aves,Cocoi Heron,Ardea cocoi,Increasing,Global,Least Concern
animalia — aves,Rufescent Tiger-heron,Tigrisoma lineatum,Unknown,Global,Least Concern
animalia — aves,Puna Flamingo,Phoenicoparrus jamesi,Stable,Global,Near Threatened
animalia — aves,White-faced Ibis,Plegadis chihi,Increasing,Global,Least Concern
animalia — aves,Ochre-faced Tody-flycatcher,Poecilotriccus plumbeiceps,Stable,Global,Least Concern
animalia — aves,Southern Scrub-flycatcher,Sublegatus modestus,Increasing,Global,Least Concern
animalia — aves,Large Elaenia,Elaenia spectabilis,Decreasing,Global,Least Concern
animalia — aves,White-crested Tyrannulet,Serpophaga subcristata,Stable,Global,Least Concern
animalia — aves,Eared Pygmy-tyrant,Myiornis auricularis,Decreasing,Global,Least Concern
animalia — aves,Black-crowned Monjita,Xolmis coronatus,Stable,Global,Least Concern
animalia — aves,Fire-eyed Diucon,Xolmis pyrope,Stable,Global,Least Concern
animalia — aves,Chocolate-vented Tyrant,Neoxolmis rufiventris,Unknown,Global,Least Concern
animalia — aves,Spot-billed Ground-tyrant,Muscisaxicola maculirostris,Stable,Global,Least Concern
animalia — aves,Yellow-browed Tyrant,Satrapa icterophrys,Stable,Global,Least Concern
animalia — aves,White-tailed Shrike-tyrant,Agriornis albicauda,Decreasing,Global,Vulnerable
animalia — aves,Blue Manakin,Chiroxiphia caudata,Stable,Global,Least Concern
animalia — aves,Tufted Antshrike,Mackenziaena severa,Stable,Global,Least Concern
animalia — aves,Variable Antshrike,Thamnophilus caerulescens,Decreasing,Global,Least Concern
animalia — aves,White-eyed Parakeet,Psittacara leucophthalmus,Decreasing,Global,Least Concern
animalia — aves,Maroon-bellied Parakeet,Pyrrhura frontalis,Stable,Global,Least Concern
animalia — aves,Green Violet-ear,Colibri thalassinus,Unknown,Global,Least Concern
animalia — aves,White-vented Violet-ear,Colibri serrirostris,Unknown,Global,Least Concern
animalia — aves,Black-throated Mango,Anthracothorax nigricollis,Unknown,Global,Least Concern
animalia — aves,Violet-capped Woodnymph,Thalurania glaucopis,Unknown,Global,Least Concern
animalia — aves,White-sided Hillstar,Oreotrochilus leucopleurus,Stable,Global,Least Concern
animalia — aves,Wedge-tailed Hillstar,Oreotrochilus adela,Decreasing,Global,Near Threatened
animalia — aves,Giant Hummingbird,Patagona gigas,Stable,Global,Least Concern
animalia — aves,Blue-capped Puffleg,Eriocnemis glaucopoides,Stable,Global,Least Concern
animalia — aves,Salinas Monjita,Xolmis salinarum,Stable,Global,Near Threatened
animalia — aves,Azure Jay,Cyanocorax coeruleus,Decreasing,Global,Near Threatened
animalia — actinopterygii,,Poromitra crassiceps,Unknown,Global,Least Concern
animalia — insecta,Dusky Dancer,Argia translata,Stable,Global,Least Concern
animalia — aves,White-winged Becard,Pachyramphus polychopterus,Stable,Global,Least Concern
animalia — aves,Wing-barred Piprites,Piprites chloris,Decreasing,Global,Least Concern
animalia — aves,Swallow Flycatcher,Hirundinea bellicosa,Increasing,Global,Least Concern
animalia — aves,Cattle Tyrant,Machetornis rixosa,Stable,Global,Least Concern
animalia — reptilia,Günther’s Green Liophis,Erythrolamprus albertguentheri,Stable,Global,Least Concern
