kingdom_class,common_name,scientific_name,trend,region,threat_level
animalia — actinopterygii,Malabar Blood Snapper,Lutjanus malabaricus,Unknown,Global,Least Concern
animalia — actinopterygii,Vanuatu Snapper,Paracaesio gonzalesi,Unknown,Global,Least Concern
animalia — actinopterygii,Two-spot Red Snapper,Lutjanus bohar,Unknown,Global,Least Concern
animalia — actinopterygii,Ornate Jobfish,Pristipomoides argyrogrammicus,Unknown,Global,Least Concern
animalia — actinopterygii,Shortbelly Eel,Dysomma anguillare,Unknown,Global,Least Concern
animalia — actinopterygii,,Ariosoma scheelei,Stable,Global,Least Concern
animalia — actinopterygii,Splendid Ponyfish,Eubleekeria splendens,Stable,Global,Least Concern
animalia — malacostraca,,Parathelphusa tera,Unknown,Global,Data Deficient
animalia — malacostraca,,Adeleana forcarti,Unknown,Global,Vulnerable
animalia — mammalia,Southern Free-tailed Bat,Mormopterus planiceps,Decreasing,Global,Least Concern
animalia — mammalia,Stalker's Myotis,Myotis stalkeri,Unknown,Global,Data Deficient
animalia — maxillopoda,,Neodiaptomus lymphatus,,Global,Vulnerable
animalia — mammalia,Eastern Long-eared Bat,Nyctophilus bifax,Stable,Global,Least Concern
animalia — anthozoa,,Acropora tortuosa,Decreasing,Global,Least Concern
animalia — anthozoa,,Pavona danai,Unknown,Global,Vulnerable
animalia — anthozoa,,Montipora stellata,Decreasing,Global,Least Concern
animalia — anthozoa,,Acropora inermis,Decreasing,Global,Data Deficient
animalia — anthozoa,,Acropora parilis,Decreasing,Global,Data Deficient
animalia — anthozoa,,Porites ornata,Unknown,Global,Endangered
animalia — anthozoa,,Acropora halmaherae,Decreasing,Global,Data Deficient
animalia — anthozoa,,Acropora torihalimeda,Decreasing,Global,Data Deficient
animalia — anthozoa,Ocellated Brain Coral,Cyphastrea ocellina,Decreasing,Global,Vulnerable
animalia — anthozoa,,Acropora dendrum,Decreasing,Global,Vulnerable
animalia — anthozoa,,Goniopora albiconus,Unknown,Global,Vulnerable
animalia — anthozoa,,Alveopora catalai,Unknown,Global,Near Threatened
animalia — anthozoa,,Heterocyathus sulcatus,Unknown,Global,Least Concern
animalia — anthozoa,,Indophyllia macassarensis,Unknown,Global,Data Deficient
animalia — anthozoa,,Goniopora pendulus,Unknown,Global,Least Concern
animalia — anthozoa,,Echinophyllia echinoporoides,Unknown,Global,Least Concern
animalia — anthozoa,,Anacropora matthai,Decreasing,Global,Vulnerable
animalia — anthozoa,,Favites complanata,Decreasing,Global,Near Threatened
animalia — anthozoa,,Echinopora gemmacea,Decreasing,Global,Least Concern
animalia — anthozoa,,Coscinaraea crassa,Unknown,Global,Near Threatened
animalia — anthozoa,,Micromussa minuta,Unknown,Global,Near Threatened
animalia — anthozoa,,Acropora elegans,Decreasing,Global,Vulnerable
animalia — malacostraca,,Parathelphusa pallida,Stable,Global,Least Concern
animalia — malacostraca,,Malayopotamon brevimarginatum,Unknown,Global,Least Concern
animalia — malacostraca,,Holthuisana loriae,Unknown,Global,Data Deficient
animalia — malacostraca,,Malayopotamon gestroi,Unknown,Global,Data Deficient
animalia — malacostraca,,Malayopotamon sumatrense,Unknown,Global,Data Deficient
