"COU","Country","DESIG","Designation","DOMAIN","Domain","MEASURE","Measure","CALCULATION","Calculation method","SCOPE","Scope","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2014","2014","PC","Percentage","0","Units",,,10.38,,
"CAN","Canada","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2015","2015","PC","Percentage","0","Units",,,10.59,,
"CAN","Canada","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2016","2016","PC","Percentage","0","Units",,,10.62,,
"CAN","Canada","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2017","2017","PC","Percentage","0","Units",,,10.65,,
"CAN","Canada","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2018","2018","PC","Percentage","0","Units",,,10.99,,
"CAN","Canada","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2019","2019","PC","Percentage","0","Units",,,11.02,,
"CAN","Canada","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2020","2020","PC","Percentage","0","Units",,,11.02,,
"CZE","Czech Republic","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","1970","1970","PC","Percentage","0","Units",,,5,,
"CZE","Czech Republic","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","1980","1980","PC","Percentage","0","Units",,,11.7,,
"CZE","Czech Republic","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","1990","1990","PC","Percentage","0","Units",,,13.37,,
"CZE","Czech Republic","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","1995","1995","PC","Percentage","0","Units",,,15.39,,
"CZE","Czech Republic","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2000","2000","PC","Percentage","0","Units",,,15.59,,
"CZE","Czech Republic","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2005","2005","PC","Percentage","0","Units",,,20.95,,
"CZE","Czech Republic","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2010","2010","PC","Percentage","0","Units",,,21.45,,
"CZE","Czech Republic","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2011","2011","PC","Percentage","0","Units",,,21.46,,
"CZE","Czech Republic","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2012","2012","PC","Percentage","0","Units",,,21.46,,
"CZE","Czech Republic","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2013","2013","PC","Percentage","0","Units",,,21.46,,
"CZE","Czech Republic","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2014","2014","PC","Percentage","0","Units",,,21.46,,
"CZE","Czech Republic","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2015","2015","PC","Percentage","0","Units",,,21.88,,
"CZE","Czech Republic","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2016","2016","PC","Percentage","0","Units",,,21.9,,
"CZE","Czech Republic","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2017","2017","PC","Percentage","0","Units",,,21.91,,
"CZE","Czech Republic","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2018","2018","PC","Percentage","0","Units",,,21.91,,
"CZE","Czech Republic","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2019","2019","PC","Percentage","0","Units",,,21.91,,
"CZE","Czech Republic","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2020","2020","PC","Percentage","0","Units",,,21.91,,
"DNK","Denmark","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","1970","1970","PC","Percentage","0","Units",,,0.43,,
"DNK","Denmark","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","1980","1980","PC","Percentage","0","Units",,,3.53,,
"DNK","Denmark","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","1990","1990","PC","Percentage","0","Units",,,6.94,,
"DNK","Denmark","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","1995","1995","PC","Percentage","0","Units",,,13.38,,
"DNK","Denmark","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2000","2000","PC","Percentage","0","Units",,,14.17,,
"DNK","Denmark","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2005","2005","PC","Percentage","0","Units",,,14.36,,
"DNK","Denmark","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2010","2010","PC","Percentage","0","Units",,,14.45,,
"DNK","Denmark","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2011","2011","PC","Percentage","0","Units",,,14.45,,
"DNK","Denmark","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2012","2012","PC","Percentage","0","Units",,,14.45,,
"DNK","Denmark","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2013","2013","PC","Percentage","0","Units",,,14.46,,
"DNK","Denmark","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2014","2014","PC","Percentage","0","Units",,,14.46,,
"DNK","Denmark","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2015","2015","PC","Percentage","0","Units",,,14.46,,
"DNK","Denmark","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2016","2016","PC","Percentage","0","Units",,,14.47,,
"DNK","Denmark","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2017","2017","PC","Percentage","0","Units",,,14.47,,
"DNK","Denmark","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2018","2018","PC","Percentage","0","Units",,,14.55,,
"DNK","Denmark","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2019","2019","PC","Percentage","0","Units",,,14.55,,
"DNK","Denmark","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2020","2020","PC","Percentage","0","Units",,,14.55,,
"FIN","Finland","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","1970","1970","PC","Percentage","0","Units",,,1.39,,
"FIN","Finland","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","1980","1980","PC","Percentage","0","Units",,,1.64,,
"FIN","Finland","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","1990","1990","PC","Percentage","0","Units",,,4.11,,
"FIN","Finland","ALL_INC_POINTS","All, including data recorded as points","TERRESTRIAL","Terrestrial","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","1995","1995","PC","Percentage","0","Units",,,8.77,,
