Country,Artificial surfaces,Bare area,Cropland,Grassland,Inland water,Shrubland,Sparse vegetation,Tree cover,Wetland
Cameroon,0.0016665335771621,2.98626450318e-05,0.15451674980910998,0.028323646397245,0.0075861017600152006,0.036992722753883996,0.0,0.76709644677421,0.0037879362833446993
Canada,0.001262318439972,0.059319368677189004,0.05803682193685201,0.024338073196313998,0.10524406433347,0.040085052477507,0.23335360996518,0.47023071089718,0.0081299800763456
Cayman Islands,0.056366237482117,0.0,0.14964234620887,0.0045779685264664,0.09384835479256098,0.0,0.0020028612303289997,0.6738197424892701,0.019742489270386
Central African Republic,0.0002788238491298,9.0462848829e-06,0.021503762696864,0.10291574153946,0.0014906542583032001,0.05812708939749401,0.0,0.81539903224579,0.00027584972807240005
Chad,0.0002512230491892,0.49730067364838,0.18852379088351,0.10093759358210001,0.0029061069194361,0.10231655598778,0.066360796275605,0.036227153511621,0.0051761061423762
Chile,0.0035739421244329996,0.21559619642554,0.06623716344993,0.04430845735362901,0.03507220318608399,0.16168366219902,0.16215484513945,0.31095618491824,0.0004173452036637999
China (People's Republic of),0.014619203997609999,0.18310607312132,0.28740486936568,0.27883267318905003,0.013426438949043001,0.0038586845603322,0.024935535565198997,0.19035034390783998,0.0034661773439196002
Chinese Taipei,0.056078627636805004,0.0,0.31132242229345003,0.0003556558869568,0.017661402817561,0.00010435412252030001,0.0012266933586055,0.60276857876074,0.010482265123361999
Christmas Islands,0.0,0.0,0.28950338600451003,0.0,0.045146726862303005,0.0,0.0,0.66534988713318,0.0
Cocos (Keeling) Islands,0.0,0.0,0.39195979899498,0.0,0.6080402010050201,0.0,0.0,0.0,0.0
Colombia,0.0023365025410503,0.00028177636030000003,0.12291727507813001,0.13243326916069,0.012498476017888,0.048110511959429,0.0047376097722796,0.65519518244783,0.021489396662402
Comoros,0.015853828629876,0.0,0.12143753777489,0.0055790599284021,0.022455716211817998,0.011251104188943999,0.0,0.82342275326608,0.0
Congo,0.0009700919130533,1.1720441328699998e-05,0.09882495813886599,0.033572077220578,0.0085137736597957,0.028732661917333993,0.0,0.8268845737129001,0.002490142996146
Cook Islands,0.000646830530401,0.0,0.42529107373868,0.0,0.10058214747736001,0.0,0.058861578266494005,0.41461836998706003,0.0
Costa Rica,0.0086019207997364,0.000446872569096,0.26666104941327,0.0041136350299946,0.005977861000061701,8.12495580175e-05,0.0,0.7134869752444599,0.0006304363853576001
Croatia,0.017138022754870003,0.0017426873525800003,0.42744848941998,0.054465482332874,0.011518437851223999,0.015953871490155,0.0057291017836193,0.46082102066993996,0.005182886344750901
