Country,temp_slope,gain_percentage,temp_difference
Luxembourg,0.029807362962952343,12.511683885966484,1.1365060000000007
Macedonia,0.05365461965810463,19.032858318231007,1.7852809999999995
Madagascar,0.021314641025645367,2.165586744461856,0.4835599999999971
Malawi,0.009000623931625823,1.9626745533425805,0.4329050000000052
Malaysia,0.014406330484330338,1.3775238990865857,0.35350833333333753
Maldives,0.020344729344729445,1.1501032143910184,0.32499999999999574
Mali,0.028146065527056643,1.7822082767383174,0.5077850000000019
Malta,0.034223794871785625,7.046594528805605,1.3094316666666685
Marshall Islands,0.02507264957264922,3.3788925755684707,0.9249999999999972
Mauritania,0.029432031339023067,1.9594069851728513,0.548961666666667
Mauritius,0.05099003988604563,3.606749814451926,0.8285599999999995
Mexico,0.020896091168083584,3.042824036113223,0.6339566666666698
Moldova,0.06502484871793472,15.815517904136733,1.5154508333333343
Monaco,0.035502238746428515,12.171962783921186,1.1754714999999987
Mongolia,0.015000425640996304,-1671.8964928910275,0.7349378333333324
Morocco,0.041516723646712356,7.1128992571315885,1.2259158333333318
Mozambique,0.013605769230772767,1.7886101765823614,0.42753000000000085
Myanmar (Burma),0.017500814814808308,0.9135541951746484,0.21141166666666678
Namibia,0.03407398290598853,4.810255590741752,0.9832900000000038
Nepal,0.03404378689457324,6.239147041291071,0.7430381666666648
Netherlands,0.03269060398859503,12.032562672725744,1.1384791666666665
New Caledonia,0.012163783475788184,1.7827645091505362,0.38992833333333365
New Zealand,0.02985376809117592,7.560054667890959,0.7232136666666626
Nicaragua,0.01957648433048319,1.7312405377949425,0.4327283333333263
Niger,0.035240059829048806,1.7386458959991469,0.47999333333333283
Nigeria,0.03203800569800363,2.1030878855449187,0.5666049999999991
Northern Mariana Islands,0.020651934472933436,1.146830038539326,0.31709000000000387
Norway,0.038104920512810676,33.22085599835252,0.5363665000000006
Oman,0.029692849002843035,3.0042037897876295,0.7655600000000042
Pakistan,0.03688802507120925,4.02507315495324,0.7986899999999935
Palau,0.025482042735042374,2.586568985086779,0.7102416666666684
Panama,0.020846142450142057,2.1942024697545692,0.5574449999999977
Papua New Guinea,0.01054341880341994,1.171553205657272,0.29381499999999505
Paraguay,0.01297738746439352,0.8124439812329021,0.19254333333333307
Peru,0.005270444444444907,1.760678628113732,0.3449949999999937
Philippines,0.009274729344728358,1.0850681431691767,0.2804833333333363
